MaxGenerations,PopulationSize,MaxDepth,CrossoverRate,MutationRate,TournamentSize,globalThreshold,LocalThreshold,CutoffDepth,AvgFitness,StdDevFitness,Score
174,101,7,0.809092,0.141142,3,2,1,3,0.604387,0.112642,0.389278
184,65,6,0.746388,0.186444,6,5,5,3,0.587029,0.133998,0.370721
158,102,7,0.660914,0.24482,6,4,4,6,0.570877,0.115524,0.364956
84,78,7,0.781639,0.181211,5,4,4,3,0.569175,0.112354,0.364717
50,177,5,0.735971,0.214029,3,1,2,4,0.582706,0.148702,0.363284
89,152,4,0.710187,0.137074,6,3,1,5,0.563688,0.109589,0.361704
63,168,6,0.788683,0.161317,4,4,4,6,0.550152,0.0847425,0.359684
55,145,8,0.738369,0.0654824,5,3,5,5,0.565637,0.125241,0.358374
72,52,8,0.684786,0.109069,6,5,2,5,0.556311,0.11085,0.356163
86,52,4,0.751206,0.219316,2,2,4,3,0.549718,0.104286,0.353517
120,155,8,0.713725,0.236275,4,5,1,5,0.54234,0.0938081,0.351496
177,183,7,0.625461,0.291007,5,5,1,6,0.551831,0.126745,0.348258
115,122,7,0.861357,0.114826,7,1,3,5,0.516277,0.0955492,0.332729
136,149,7,0.789486,0.0981946,6,1,4,5,0.523934,0.113664,0.332654
156,124,3,0.808261,0.164662,7,3,4,2,0.515319,0.106247,0.32885
52,60,3,0.784577,0.120367,2,2,5,4,0.486847,0.0480679,0.326372
64,67,7,0.820626,0.120022,5,3,4,4,0.489576,0.0748229,0.320256
163,113,3,0.726078,0.223922,6,2,3,6,0.511029,0.130994,0.318422
191,186,7,0.573512,0.281329,7,1,4,5,0.502169,0.129948,0.312534
170,73,5,0.646359,0.228012,4,5,1,4,0.511209,0.175705,0.305135
178,93,6,0.617526,0.274791,6,1,2,3,0.496522,0.172764,0.295737
70,191,6,0.799313,0.139157,4,1,5,6,0.464423,0.114643,0.290703
146,90,6,0.562245,0.253566,2,4,4,3,0.462063,0.161443,0.275011
101,152,5,0.658877,0.130205,2,4,5,6,0.470034,0.187917,0.272649
185,77,7,0.692835,0.252567,4,2,3,4,0.464916,0.17631,0.272549
